RapNet Seller #,Shape,Weight,Color,Clarity,Cut Grade,Polish,Symmetry,Fluorescence,Measurements,Lab,Cert #,RapNet Total Price,Depth %,Table %,RapNet Lot #
1178,Round,2.000,F,SI1,Very Good,Excellent,Excellent,Medium ,8.08-8.14x4.83,GIA,2131049970,21840.0000,59.6,63.00,30833793
1178,Round,2.000,G,VS2,Very Good,Excellent,Excellent,None ,7.87-7.90x5.07,GIA,2141071364,25116.0000,64.3,57.00,34241331
63050,Round,2.000,I,SI1,Excellent,Very Good,Excellent,None ,8.14-8.20x4.88,GIA,1139009813 L,16438.0000,59.7,60.00,37098001
63050,Round,2.000,F,SI1,Very Good,Excellent,Excellent,None ,7.86-7.92x5.03,GIA,1139184461 L,21592.0000,63.7,57.00,37783090
63050,Round,2.000,H,SI1,Very Good,Excellent,Very Good,None ,7.90-7.96x5.08,GIA,1139145862 L,18536.0000,64.1,55.00,37507803
63050,Round,2.000,J,SI2,Very Good,Very Good,Excellent,None ,7.98-8.03x5.05,GIA,5136107539 L,12060.0000,63.0,56.00,37521164
63050,Round,2.000,L,VS1,Excellent,Excellent,Excellent,Faint ,8.08-8.11x4.95,GIA,5136037299 L,11812.0000,61.1,62.00,37048684
63050,Round,2.000,H,SI1,Very Good,Excellent,Good,None ,8.06-8.14x4.89,GIA,5126965997 L,17868.0000,60.3,60.00,37047896
63050,Round,2.000,H,VVS2,Very Good,Excellent,Excellent,None ,8.14-8.16x4.85,GIA,1139037382 L,26922.0000,59.5,64.00,37003922
63050,Round,2.000,I,SI2,Very Good,Excellent,Very Good,None ,7.91-7.99x5.09,GIA,1139054907 L,13920.0000,64.1,55.00,37003909
63050,Round,2.000,M,VVS2,Excellent,Excellent,Excellent,Faint ,8.10-8.12x4.95,GIA,2136033628 L,11830.0000,61.1,59.00,36876130
63050,Round,2.000,F,VS2,Excellent,Excellent,Excellent,None ,8.02-8.07x4.97,GIA,2126966133 L,29592.0000,61.7,59.00,37002560
